rank,sciName,matches

strange cases
group,Citrullus lanatus Citroides,"[('Citrullus amarus (Citrullus lanatus citroides)', 'Druh')]",v iNat ide o samostatny druh (Citrullus amarus) a nie o skupinu kultivarov. nazveme to stale "citrónová dyňa"?
group,Triticum aestivum Compactum,"[('Triticum compactum (Triticum aestivum compactum)', 'Druh')]",je trochu zvlastne aby sme pre druh pouzili meno skupiny kultivarov...
hybrid,Citrus × sinensis,"[('Citrónovník Horký (Citrus × sinensis)', 'Citrus × aurantium')]",v iNat zluceny s Citrus ×aurantium s ktorym podla SBM zdiela tu istu hybridnu formulu...
hybrid,Iris × sambucina,"[('Kosatec Nemecký (Iris × sambucina)', 'Iris × germanica')]",v iNat zluceny s Iris × germanica a uvadza sa ta ista hybridna formula ako v SBM pre Iris × sambucina...
hybrid,Salix × blanda,"[('Vŕba Previsnutá (Salix × blanda)', 'Salix × pendulina')]",tento iNat taxon ma uvedene ako byvale vedecke meno aj Salix × blanda ale podla POWO by Salix × blanda mala zodpovedat Salix × pendulina nothof. pendulina co je iny iNat taxon (https://www.inaturalist.org/taxa/1055551-Salix---pendulina-pendulina)
species,Epipactis leutei,"[('Epipactis helleborine leutei (Epipactis leutei)', 'Poddruh')]",POWO odkazuje na Epipactis helleborine subsp. helleborine ale iNat ukazuje na Epipactis helleborine ssp. leutei
species,Papaver rhaeticum,"[('Oreomecon alpina markgrafiana (Papaver rhaeticum)', 'Poddruh')]",to iste ako Papaver alpinum subsp. alpinum ale mozno by sa to dalo priradit ku https://www.inaturalist.org/taxa/1599663-Oreomecon-aurantiaca
subspecies,Agave coetocapnia coetocapnia,"[('Agáva Zdvojenokvetá (Agave coetocapnia coetocapnia)', 'Polianthes geminiflora,Polianthes geminiflora geminiflora (Agave coetocapnia coetocapnia)', 'Varieta')]",podla POWO je Agave coetocapnia synonymum pre Polianthes geminiflora var. geminiflora ale podla SBM je Polianthes geminiflora synonymum Agave coetocapnia subsp. coetocapnia. tak to mi nejako nevychadza.

neexistujuci taxon kvoli zluceniu prip. neoddeleniu od rodicovskeho taxonu
genus,Parakeelya,"[('Calandrinia balonensis (Parakeelya)', 'Druh'), ('Calandrinia polyandra (Parakeelya)', 'Druh')]",v iNat je zjavne rod Parakeelya zluceny do rodu Calandrinia ktory v SBM existuje samostatne
form,Blitum bonus-henricus dentatum,"[('Mrlík Dobrý (Blitum bonus-henricus dentatum)', 'Blitum bonus-henricus')]",pre nieco je v iNat zluceny s B. bonus-henricus
subspecies,Cichorium intybus foliosum,"[('Čakanka Obyčajná Pravá (Cichorium intybus foliosum)', 'Cichorium intybus intybus')]",pre nieco je v iNat zluceny s Cichorium intybus intybus
group,Cichorium intybus Radicosum,"[('Čakanka Obyčajná Pravá (Cichorium intybus radicosum)', 'Cichorium intybus intybus')]",pre nieco je v iNat zluceny s Cichorium intybus intybus
group,Citrullus lanatus Lanatus,"[('Dyňa Červená (Citrullus lanatus lanatus)', 'Citrullus lanatus')]",v iNat je zluceny s Citrullus lanatus
group,Lactuca sativa Longifolia,"[('Šalát Siaty (Lactuca sativa longifolia)', 'Lactuca sativa')]",v iNat je zluceny s Lactuca sativa
group,Oryza sativa Japonica,"[('Ryža Siata (Oryza sativa japonica)', 'Oryza sativa')]",v iNat zluceny s Oryza sativa
group,Raphanus sativus Longipinnatus,"[('Raphanus raphanistrum sativus (Raphanus sativus longipinnatus)', 'Poddruh')]",v iNat zlucena s Raphanus raphanistrum sativus
group,Raphanus sativus Radicula,"[('Raphanus raphanistrum sativus (Raphanus sativus radicula)', 'Poddruh')]",v iNat zlucena s Raphanus raphanistrum sativus
group,Raphanus sativus Sativus,"[('Raphanus raphanistrum sativus (Raphanus sativus sativus)', 'Poddruh')]",v iNat zlucena s Raphanus raphanistrum sativus
hybrid,Abutilon × hybridum,"[('Podslnečník (Abutilon × Hybridum)', 'Rod Abutilon')]",v iNat je zluceny s Abutilon
hybrid,Epidendrum × elongatum,"[('Epidendrum Jednostranné (Epidendrum elongatum)', 'Epidendrum secundum')]",v iNat zluceny s Epidendrum secundum (jeden z rodicov)
hybrid,Populus × candicans,"[('Topoľ Balzamový (Populus candicans)', 'Populus balsamifera')]",ako aj SBM uvadza je to podla POWO synonymum pre Populus balsamifera
species,Allium coloratum,"[('Allium carinatum pulchellum (Allium coloratum)', 'Varieta,Allium schoenoprasum schoenoprasum (Allium coloratum)', 'Varieta')]",ak aj SBM uvadza je to synonymum pre A. cirrhosum
species,Nymphaea capensis,"[('Nymphaea nouchali caerulea (Nymphaea capensis)', 'Varieta')]",podla POWO je to synonymum pre Nymphaea nouchali caerulea ktore je ale v SBM vedene ako separatny taxon

neexistujuci taxon
group,Cichorium intybus Foliosum,"[('Čakanka Obyčajná Pravá (Cichorium intybus foliosum)', 'Cichorium intybus intybus')]",existuje iba poddruh ktory je ale v SBM oddeleny od skupiny kultivarov
hybrid,Phlox × procumbens,"[('Phlox procumbens', 'Druh')]",podla POWO je Phlox procumbens odlisny od Phlox × procumbens
species,Callitris robusta,"[('Kalitria (Callitris robusta)', 'Rod Callitris')]",POWO pozna iba meno od inych autorov ale GBIF pozna presne od tychto (https://www.gbif.org/species/8023971) a tvari sa ze je to akceptovane. v iNat to nie je.
species,Euphorbia angularis,"[('Euphorbia cooperi cooperi (Euphorbia angularis)', 'Varieta')]",nic nenasvedcuje tomu ze by E. cooperi cooperi bol ten isty taxon (POWO ani GBIF)
species,Hieracium sudetotubulosum,,skrz syn. H. tubulosum odkazuje na Schlagintweitia intybacea ale to je podla POWO uplne iny taxon napriek tomu ze ma priradene korespondujuce ceske meno
species,Astragalus atropilosus,,cez synonymum A. venosus odkazuje na Astragalus aucheri ale to je podla POWO uplne iny taxon
species,Euphorbia fimbriata,,
species,Oenothera oehlkersii,"[('Oenothera × fallax (Oenothera × oehlkersii)', 'Kríženec')]",POWO ho povazuje len za synonymum pre Oenothera ×fallax Renner
species,Pilocarpus microphyllus,"[('Pilokarp (Pilocarpus microphyllus)', 'Rod Pilocarpus')]",zrejme uplne chyba v iNat aj ked POWO ho akceptuje
species,Trifolium flexuosum,"[('Trifolium medium medium (Trifolium flexuosum)', 'Poddruh')]",POWO aj GBIF ukazuju toto len ako synonymum pre T. medium L.
subspecies,Aconitum lycoctonum lycoctonum,"[('Prilbica Žltá (Aconitum lycoctonum lycoctonum)', 'Aconitum lycoctonum')]",POWO poddruh ani nepozna a iNat ho ma len priradeny ku rodicovskemu druhu
subspecies,Agrostis stolonifera stolonifera,"[('Psinček Poplazový (Agrostis stolonifera stolonifera)', 'Agrostis stolonifera')]",ani POWO nepozna poddruh a v iNat je zaradeny pod rodicovsky druh
subspecies,Aira caryophyllea caryophyllea,"[('Ovsienka Mnohokvetá (Aira caryophyllea caryophyllea)', 'Aira caryophyllea')]",podla POWO neexistuje a podla GBIF je to synonymum rodica. aj podla iNat
subspecies,Angelica sylvestris bernardiae,"[('Angelika Lesná Pravá (Angelica sylvestris bernardiae)', 'Angelica sylvestris sylvestris')]",POWO aj iNat ho maju ako synonymum pre A. sylvestris subsp. sylvestris
subspecies,Aquilegia vulgaris vulgaris,"[('Orlíček Obyčajný (Aquilegia vulgaris vulgaris)', 'Aquilegia vulgaris')]",POWO aj iNat ho ma ako synonymum rodica. GBIF ho pozna.
species,Lotus alpicola,"[('Lotus corniculatus corniculatus (Lotus alpicola)', 'Poddruh')]",podla POWO aj iNat je to synonymum pre L. corniculatus ssp. corniculatus ale v SBM je to samostatny taxon

prijmeme ze je to (pod)sekcia a prisposobime SK meno?
genus,Anagallis,"[('Anagallis', 'Sekcia')]"
genus,Aphanes,"[('Aphanes', 'Sekcia')]"
genus,Cortusa,"[('Cortusa', 'Podsekcia')]"
genus,Dorycnium,"[('Dorycnium', 'Sekcia')]"
genus,Glaux,"[('Glaux', 'Sekcia')]"
genus,Jovibarba,"[('Skalničník', 'Sekcia Jovibarba')]"
genus,Spartina,"[('Spartina', 'Sekcia')]"
genus,Trientalis,"[('Trientalis', 'Sekcia')]"
genus,Vaccaria,"[('Vaccaria', 'Sekcia')]"

nenajdene
hybrid,Amelanchier × grandiflora,"[('Muchovník Lamarckov (Amelanchier × grandiflora)', 'Amelanchier × lamarckii')]",v iNat zluceny s Amelanchier ×Lamarckii ale hybridna formula sa lisi
hybrid,Hosta × fortunei,"[('Hosta sieboldiana sieboldiana (Hosta fortunei)', 'Varieta')]",v iNat zluceny s Hosta sieboldiana sieboldiana

nespravne/zastarane meno pridane inym pouzivatelom
hybrid,Asplenium × alternifolium,"[('Slezinník Nemecký', 'Asplenium × alternifolium')]"
hybrid,Equisetum × meridionale,"[('Prasličkovka Južná', 'Equisetum × meridionale')]"
hybrid,Equisetum × moorei,"[('Prasličkovka Mooreova', 'Equisetum × moorei')]"
hybrid,Fagus × taurica,"[('Buk Taurský', 'Fagus × taurica')]"
hybrid,Fragaria × ananassa,"[('Jahoda Ananásová', 'Fragaria × ananassa')]"
hybrid,Pelargonium × hybridum,"[('Muškát Záhradný', 'Pelargonium × hybridum')]"
hybrid,Reynoutria × bohemica,"[('Pohánkovec Český', 'Reynoutria × bohemica')]"
hybrid,Tulipa × gesneriana,"[('Tulipán Gesnerov', 'Tulipa gesneriana')]"
subspecies,Aconitum lycoctonum vulparia,"[('Prilbica Žltá "Vulparia" (Aconitum lycoctonum vulparia)', 'Aconitum vulparia')]"

subspecies,Asplenium trichomanes hastatum,"[('Slezinník Červený Oštepovitolistý', 'Asplenium trichomanes hastatum')]"
subspecies,Asplenium trichomanes inexpectans,"[('Slezinník Červený Vápencový', 'Asplenium trichomanes inexpectans')]"
subspecies,Asplenium trichomanes quadrivalens,"[('Slezinník Červený Hnedovýtrusný', 'Asplenium trichomanes quadrivalens')]"
subspecies,Asplenium trichomanes trichomanes,"[('Slezinník Červený Pravý', 'Asplenium trichomanes trichomanes')]"
subspecies,Betula pubescens pubescens,"[('Breza Plstnatá Pravá', 'Betula pubescens pubescens')]"
subspecies,Ceratophyllum demersum apiculatum,"[('Rožkatec Ponorený Hrboľkatý', 'Ceratophyllum demersum apiculatum')]"
subspecies,Ceratophyllum demersum demersum,"[('Rožkatec Ponorený Pravý', 'Ceratophyllum demersum demersum')]"
subspecies,Ceratophyllum demersum platyacanthum,"[('Rožkatec Ponorený Plochoostňový', 'Ceratophyllum demersum platyacanthum')]"
subspecies,Potentilla recta laciniosa,"[('Nátržník Priamy Strapkatý', 'Potentilla recta laciniosa')]"
subspecies,Potentilla supina supina,"[('Nátržník Poliehavý Pravý', 'Potentilla supina supina')]"
subspecies,Quercus pubescens pubescens,"[('Dub Jadranský', 'Quercus pubescens pubescens')]"
subspecies,Rumex acetosella acetoselloides,"[('Štiav Obyčajný Tenkolistý', 'Rumex acetosella acetoselloides')]"
subspecies,Veratrum album lobelianum,"[('Kýchavica Lobelova (Veratrum album lobelianum)', 'Veratrum lobelianum')]"
subspecies,Vicia villosa varia,"[('Vika Huňatá Olysalá', 'Vicia villosa varia')]"

existujuce meno je OK
subspecies,Aconitum firmum firmum,"[('Prilbica Tuhá Pravá', 'Aconitum firmum firmum')]"

prejst neskor (iNat sci name sa nezhoduje so SBM):
variety,Aesculus chinensis wilsonii,"[('Pagaštan Čínsky (Aesculus chinensis wilsonii)', 'Aesculus chinensis')]"
variety,Lilium bulbiferum croceum,"[('Ľalia Cibuľkonosná (Lilium bulbiferum croceum)', 'Lilium bulbiferum')]"
variety,Pastinaca sativa pratensis,"[('Paštrnák Siaty (Pastinaca sativa pratensis)', 'Pastinaca sativa')]"
variety,Phalaris arundinacea arundinacea,"[('Chrastica Trsťovitá (Phalaris arundinacea arundinacea)', 'Phalaris arundinacea')]"
variety,Phalaris arundinacea picta,"[('Chrastica Trsťovitá (Phalaris arundinacea picta)', 'Phalaris arundinacea')]"
variety,Picea brachytyla brachytyla,"[('Smrek Smutný (Picea brachytyla brachytyla)', 'Picea brachytyla')]"
variety,Picea brachytyla complanata,"[('Smrek Smutný (Picea brachytyla complanata)', 'Picea brachytyla')]"
variety,Potentilla argentea argentea,"[('Nátržník Strieborný (Potentilla argentea argentea)', 'Potentilla argentea')]"
variety,Reynoutria japonica japonica,"[('Pohánkovec Japonský (Reynoutria japonica japonica)', 'Reynoutria japonica')]"
variety,Taxodium distichum distichum,"[('Tisovec Dvojradový (Taxodium distichum distichum)', 'Taxodium distichum')]"
subspecies,Vigna unguiculata cylindrica,"[('Vigna Nechtíkatá Pravá (Vigna unguiculata cylindrica)', 'Vigna unguiculata unguiculata')]"
subspecies,Trifolium arvense arvense,"[('Ďatelina Roľná (Trifolium arvense arvense)', 'Trifolium arvense')]"
subspecies,Trifolium arvense gracile,"[('Ďatelina Roľná (Trifolium arvense gracile)', 'Trifolium arvense')]"
subspecies,Veratrum album album,"[('Kýchavica Biela (Veratrum album album)', 'Veratrum album')]"
subspecies,Solanum nigrum nigrum,"[('Ľuľok Čierny (Solanum nigrum nigrum)', 'Solanum nigrum')]"
subspecies,Solanum nigrum schultesii,"[('Ľuľok Čierny (Solanum nigrum schultesii)', 'Solanum nigrum')]"
subspecies,Soldanella hungarica hungarica,"[('Soldanelka Uhorská (Soldanella hungarica hungarica)', 'Soldanella hungarica')]"
subspecies,Saxifraga moschata dominii,"[('Lomikameň Pižmový (Saxifraga moschata dominii)', 'Saxifraga moschata')]"
subspecies,Sedum rupestre rupestre,"[('Rozchodník Skalný (Sedum rupestre rupestre)', 'Petrosedum rupestre')]"
subspecies,Setaria viridis pycnocoma,"[('Mohár Zelený (Setaria viridis pycnocoma)', 'Setaria viridis')]"
subspecies,Setaria viridis viridis,"[('Mohár Zelený (Setaria viridis viridis)', 'Setaria viridis')]"
subspecies,Silene dichotoma dichotoma,"[('Silenka Vidlicovitá (Silene dichotoma dichotoma)', 'Silene dichotoma')]"
subspecies,Salsola kali ruthenica,"[('Slanobyľ Draslomilná (Salsola kali ruthenica)', 'Salsola tragus')]"
subspecies,Ranunculus trichophyllus trichophyllus,"[('Močiarka Niťovitolistá (Ranunculus trichophyllus trichophyllus)', 'Ranunculus trichophyllus')]"
subspecies,Rosa dumalis dumalis,"[('Ruža Hájna (Rosa dumalis dumalis)', 'Rosa dumalis')]"
subspecies,Erodium cicutarium cicutarium,"[('Bocianik Rozpukovitý (Erodium cicutarium cicutarium)', 'Erodium cicutarium')]"
subspecies,Euphorbia dulcis purpurata,"[('Mliečnik Sladký (Euphorbia dulcis purpurata)', 'Euphorbia dulcis')]"
subspecies,Filago lutescens lutescens,"[('Bielolist Žltkastý (Filago lutescens lutescens)', 'Filago lutescens')]"
subspecies,Gagea bohemica bohemica,"[('Krivec Český (Gagea bohemica bohemica)', 'Gagea bohemica')]"
subspecies,Gentianella obtusifolia norica,"[('Horček Drsný (Gentianella obtusifolia norica)', 'Gentianella obtusifolia')]"
subspecies,Gentianella obtusifolia sturmiana,"[('Horček Drsný (Gentianella obtusifolia sturmiana)', 'Gentianella obtusifolia')]"
subspecies,Juncus bulbosus bulbosus,"[('Sitina Cibuľkatá (Juncus bulbosus bulbosus)', 'Juncus bulbosus')]"
subspecies,Juncus bulbosus kochii,"[('Sitina Cibuľkatá (Juncus bulbosus kochii)', 'Juncus bulbosus')]"
subspecies,Ligustrum obtusifolium suave,"[('Vtáčí Zob Tupolistý Pravý (Ligustrum obtusifolium suave)', 'Ligustrum obtusifolium obtusifolium')]"
subspecies,Lolium temulentum temulentum,"[('Mätonoh Mámivý (Lolium temulentum temulentum)', 'Lolium temulentum')]"
subspecies,Lychnis flos-cuculi flos-cuculi,"[('Kukučka Lúčna (Lychnis flos-cuculi flos-cuculi)', 'Silene flos-cuculi')]"
subspecies,Milium effusum alpicola,"[('Pšeno Rozložité (Milium effusum alpicola)', 'Milium effusum')]"
subspecies,Moenchia erecta erecta,"[('Sivček Vzpriamený (Moenchia erecta erecta)', 'Moenchia erecta')]"
subspecies,Ophrys holosericea holosericea,"[('Hmyzovník Čmeľovitý (Ophrys holosericea holosericea)', 'Ophrys fuciflora')]"
subspecies,Oxybasis glauca glauca,"[('Mrlík Sivý (Oxybasis glauca glauca)', 'Oxybasis glauca')]"
subspecies,Oxybasis urbica rhombifolia,"[('Mrlík Mestský (Oxybasis urbica rhombifolia)', 'Oxybasis urbica')]"
subspecies,Persicaria lapathifolia brittingeri,"[('Horčiak Štiavolistý (Persicaria lapathifolia brittingeri)', 'Persicaria lapathifolia')]"
subspecies,Pilosella bauhini bauhini,"[('Chlpánik Bauhinov (Pilosella bauhini bauhini)', 'Pilosella bauhini')]"
subspecies,Pilosella bauhini magyarica,"[('Chlpánik Bauhinov (Pilosella bauhini magyarica)', 'Pilosella bauhini')]"
subspecies,Poa bulbosa bulbosa,"[('Lipnica Cibuľkatá (Poa bulbosa bulbosa)', 'Poa bulbosa')]"
subspecies,Polypodium cambricum cambricum,"[('Sladič Južný (Polypodium cambricum cambricum)', 'Polypodium cambricum')]"
subspecies,Bromus inermis inermis,"[('Stoklas Bezosťový (Bromus inermis inermis)', 'Bromus inermis')]"
subspecies,Bromus secalinus secalinus,"[('Stoklas Obilný (Bromus secalinus secalinus)', 'Bromus secalinus')]"
subspecies,Camelina sativa sativa,"[('Ľaničník Siaty (Camelina sativa sativa)', 'Camelina sativa')]"
subspecies,Bassia scoparia densiflora,"[('Basia Metlovitá (Bassia scoparia densiflora)', 'Bassia scoparia')]"
subspecies,Bassia scoparia scoparia,"[('Basia Metlovitá (Bassia scoparia scoparia)', 'Bassia scoparia')]"
subspecies,Avenella flexuosa flexuosa,"[('Metluška Krivolaká (Avenella flexuosa flexuosa)', 'Avenella flexuosa')]"
subspecies,Bupleurum falcatum cernuum,"[('Bupleurum exaltatum (Bupleurum falcatum cernuum)', 'Druh')]"
subspecies,Festuca rubra commutata,"[('Festuca nigrescens (Festuca rubra commutata)', 'Druh')]"
subspecies,Juniperus communis nana,"[('Juniperus communis saxatilis (Juniperus communis nana)', 'Varieta')]"
subspecies,Ranunculus trichophyllus eradicatus,"[('Ranunculus confervoides (Ranunculus trichophyllus eradicatus)', 'Druh')]"
subspecies,Rosa dumalis coriifolia,"[('Rosa caesia (Rosa dumalis coriifolia)', 'Druh')]"
subspecies,Silene acaulis bryoides,"[('Silene acaulis exscapa (Silene acaulis bryoides)', 'Varieta')]"
subspecies,Soldanella hungarica major,"[('Soldanella major (Soldanella hungarica major)', 'Druh')]"
subspecies,Trifolium pratense nivale,"[('Trifolium pratense frigidum (Trifolium pratense nivale)', 'Varieta')]"
variety,Leontodon hispidus glabratus,"[('Leontodon hispidus hastilis (Leontodon hispidus glabratus)', 'Poddruh'), ('Leontodon hispidus glabratus', 'Poddruh')]"
variety,Taxodium distichum imbricarium,"[('Taxodium ascendens (Taxodium distichum imbricarium)', 'Druh')]"
